origin,split,model,bucket,score,n_rows,actual_sum
2022-08-04 00:00:00,selection,ensemble_bucket_selected,1-7,0.6393023480114556,168.0,1260.0
2022-08-04 00:00:00,selection,ensemble_bucket_selected,15-21,0.6254472740764265,168.0,1334.0
2022-08-04 00:00:00,selection,ensemble_bucket_selected,22-28,0.6433526163705249,168.0,1335.0
2022-08-04 00:00:00,selection,ensemble_bucket_selected,8-14,0.6106755501762711,168.0,1271.0
2022-08-04 00:00:00,selection,ensemble_selected,1-7,0.640485951862757,168.0,1260.0
2022-08-04 00:00:00,selection,ensemble_selected,15-21,0.627070092363884,168.0,1334.0
2022-08-04 00:00:00,selection,ensemble_selected,22-28,0.6433526163705249,168.0,1335.0
2022-08-04 00:00:00,selection,ensemble_selected,8-14,0.6104724887547208,168.0,1271.0
2022-08-04 00:00:00,selection,etr,1-7,0.6387478474051249,168.0,1260.0
2022-08-04 00:00:00,selection,etr,15-21,0.628110899021861,168.0,1334.0
2022-08-04 00:00:00,selection,etr,22-28,0.6355584233343397,168.0,1335.0
2022-08-04 00:00:00,selection,etr,8-14,0.609800119516316,168.0,1271.0
2022-08-04 00:00:00,selection,item_topdown,1-7,0.609248482243724,168.0,1260.0
2022-08-04 00:00:00,selection,item_topdown,15-21,0.5428685833229344,168.0,1334.0
2022-08-04 00:00:00,selection,item_topdown,22-28,0.5705221696346071,168.0,1335.0
2022-08-04 00:00:00,selection,item_topdown,8-14,0.5732741141169332,168.0,1271.0
2022-08-04 00:00:00,selection,lgbm,1-7,0.6398858849620254,168.0,1260.0
2022-08-04 00:00:00,selection,lgbm,15-21,0.6086580945688063,168.0,1334.0
2022-08-04 00:00:00,selection,lgbm,22-28,0.6434606791692248,168.0,1335.0
2022-08-04 00:00:00,selection,lgbm,8-14,0.5971504574502701,168.0,1271.0
2022-08-04 00:00:00,selection,wbaseline,1-7,0.5744358367348755,168.0,1260.0
2022-08-04 00:00:00,selection,wbaseline,15-21,0.49850859362692373,168.0,1334.0
2022-08-04 00:00:00,selection,wbaseline,22-28,0.5544362985440878,168.0,1335.0
2022-08-04 00:00:00,selection,wbaseline,8-14,0.5528327549750136,168.0,1271.0
2022-08-11 00:00:00,selection,ensemble_bucket_selected,1-7,0.6249735637085527,168.0,1271.0
2022-08-11 00:00:00,selection,ensemble_bucket_selected,15-21,0.6696294377231304,168.0,1335.0
2022-08-11 00:00:00,selection,ensemble_bucket_selected,22-28,0.6253008729812305,168.0,1350.0
2022-08-11 00:00:00,selection,ensemble_bucket_selected,8-14,0.6557298006883067,168.0,1334.0
2022-08-11 00:00:00,selection,ensemble_selected,1-7,0.6232144827704337,168.0,1271.0
2022-08-11 00:00:00,selection,ensemble_selected,15-21,0.6658806970560909,168.0,1335.0
2022-08-11 00:00:00,selection,ensemble_selected,22-28,0.6253008729812305,168.0,1350.0
2022-08-11 00:00:00,selection,ensemble_selected,8-14,0.6551690653257185,168.0,1334.0
2022-08-11 00:00:00,selection,etr,1-7,0.624086985540987,168.0,1271.0
2022-08-11 00:00:00,selection,etr,15-21,0.6648191171604093,168.0,1335.0
2022-08-11 00:00:00,selection,etr,22-28,0.6308099969156847,168.0,1350.0
2022-08-11 00:00:00,selection,etr,8-14,0.6514987220789791,168.0,1334.0
2022-08-11 00:00:00,selection,item_topdown,1-7,0.5930753912599824,168.0,1271.0
2022-08-11 00:00:00,selection,item_topdown,15-21,0.6158781634307623,168.0,1335.0
2022-08-11 00:00:00,selection,item_topdown,22-28,0.5498659331491378,168.0,1350.0
2022-08-11 00:00:00,selection,item_topdown,8-14,0.5520503543100354,168.0,1334.0
2022-08-11 00:00:00,selection,lgbm,1-7,0.6095501946409421,168.0,1271.0
2022-08-11 00:00:00,selection,lgbm,15-21,0.6549483167665111,168.0,1335.0
2022-08-11 00:00:00,selection,lgbm,22-28,0.590846792416254,168.0,1350.0
2022-08-11 00:00:00,selection,lgbm,8-14,0.6531050803333834,168.0,1334.0
2022-08-11 00:00:00,selection,wbaseline,1-7,0.5696791718581545,168.0,1271.0
2022-08-11 00:00:00,selection,wbaseline,15-21,0.584061936410437,168.0,1335.0
2022-08-11 00:00:00,selection,wbaseline,22-28,0.5434020312277723,168.0,1350.0
2022-08-11 00:00:00,selection,wbaseline,8-14,0.502782553556037,168.0,1334.0
2022-08-18 00:00:00,holdout,ensemble_bucket_selected,1-7,0.6612406910999792,168.0,1334.0
2022-08-18 00:00:00,holdout,ensemble_bucket_selected,15-21,0.6335943883793288,168.0,1350.0
2022-08-18 00:00:00,holdout,ensemble_bucket_selected,22-28,0.6438503381100843,168.0,1286.0
2022-08-18 00:00:00,holdout,ensemble_bucket_selected,8-14,0.679044538389663,168.0,1335.0
2022-08-18 00:00:00,holdout,ensemble_selected,1-7,0.6630116002679411,168.0,1334.0
2022-08-18 00:00:00,holdout,ensemble_selected,15-21,0.626939844318162,168.0,1350.0
2022-08-18 00:00:00,holdout,ensemble_selected,22-28,0.6438503381100843,168.0,1286.0
2022-08-18 00:00:00,holdout,ensemble_selected,8-14,0.6793947172823626,168.0,1335.0
2022-08-18 00:00:00,holdout,etr,1-7,0.6643260849409449,168.0,1334.0
2022-08-18 00:00:00,holdout,etr,15-21,0.633009699768926,168.0,1350.0
2022-08-18 00:00:00,holdout,etr,22-28,0.6429356274940243,168.0,1286.0
2022-08-18 00:00:00,holdout,etr,8-14,0.679323902107543,168.0,1335.0
2022-08-18 00:00:00,holdout,item_topdown,1-7,0.6152346137874235,168.0,1334.0
2022-08-18 00:00:00,holdout,item_topdown,15-21,0.6066170095092993,168.0,1350.0
2022-08-18 00:00:00,holdout,item_topdown,22-28,0.5811845800676073,168.0,1286.0
2022-08-18 00:00:00,holdout,item_topdown,8-14,0.6623854305112138,168.0,1335.0
2022-08-18 00:00:00,holdout,lgbm,1-7,0.6471184009878591,168.0,1334.0
2022-08-18 00:00:00,holdout,lgbm,15-21,0.5864785513523095,168.0,1350.0
2022-08-18 00:00:00,holdout,lgbm,22-28,0.6004793836358833,168.0,1286.0
2022-08-18 00:00:00,holdout,lgbm,8-14,0.670230253636098,168.0,1335.0
2022-08-18 00:00:00,holdout,wbaseline,1-7,0.5775858504551171,168.0,1334.0
2022-08-18 00:00:00,holdout,wbaseline,15-21,0.5898506960252301,168.0,1350.0
2022-08-18 00:00:00,holdout,wbaseline,22-28,0.5516839358308803,168.0,1286.0
2022-08-18 00:00:00,holdout,wbaseline,8-14,0.6387742356672605,168.0,1335.0
ALL_HOLDOUT,holdout,ensemble_bucket_selected,1-7,0.6612406910999792,168.0,1334.0
ALL_HOLDOUT,holdout,ensemble_bucket_selected,15-21,0.6335943883793288,168.0,1350.0
ALL_HOLDOUT,holdout,ensemble_bucket_selected,22-28,0.6438503381100843,168.0,1286.0
ALL_HOLDOUT,holdout,ensemble_bucket_selected,8-14,0.679044538389663,168.0,1335.0
ALL_HOLDOUT,holdout,ensemble_selected,1-7,0.6630116002679411,168.0,1334.0
ALL_HOLDOUT,holdout,ensemble_selected,15-21,0.626939844318162,168.0,1350.0
ALL_HOLDOUT,holdout,ensemble_selected,22-28,0.6438503381100843,168.0,1286.0
ALL_HOLDOUT,holdout,ensemble_selected,8-14,0.6793947172823626,168.0,1335.0
ALL_HOLDOUT,holdout,etr,1-7,0.6643260849409449,168.0,1334.0
ALL_HOLDOUT,holdout,etr,15-21,0.633009699768926,168.0,1350.0
ALL_HOLDOUT,holdout,etr,22-28,0.6429356274940243,168.0,1286.0
