origin,split,model,horizon,score,n_rows,actual_sum
2022-04-14,selection,ensemble_bucket_selected,1,0.039577813722656494,24.0,19.0
2022-04-14,selection,ensemble_bucket_selected,2,0.4668084517360806,24.0,34.0
2022-04-14,selection,ensemble_bucket_selected,3,0.5670395393885516,24.0,29.0
2022-04-14,selection,ensemble_bucket_selected,4,0.4062458456255296,24.0,43.0
2022-04-14,selection,ensemble_bucket_selected,5,0.5849104857287519,24.0,16.0
2022-04-14,selection,ensemble_bucket_selected,6,0.6785412496432754,24.0,27.0
2022-04-14,selection,ensemble_bucket_selected,7,0.4579731268204843,24.0,54.0
2022-04-14,selection,ensemble_bucket_selected,8,0.43198492795083704,24.0,55.0
2022-04-14,selection,ensemble_bucket_selected,9,0.7138502690948343,24.0,23.0
2022-04-14,selection,ensemble_bucket_selected,10,0.5579371732256347,24.0,39.0
2022-04-14,selection,ensemble_bucket_selected,11,0.4546682673387219,24.0,44.0
2022-04-14,selection,ensemble_bucket_selected,12,0.4763540995936359,24.0,39.0
2022-04-14,selection,ensemble_bucket_selected,13,0.5051606580553948,24.0,57.0
2022-04-14,selection,ensemble_bucket_selected,14,0.5287563013060169,24.0,44.0
2022-04-14,selection,ensemble_bucket_selected,15,0.322052387880237,24.0,30.0
2022-04-14,selection,ensemble_bucket_selected,16,0.4606871764605459,24.0,36.0
2022-04-14,selection,ensemble_bucket_selected,17,0.44739133478793935,24.0,41.0
2022-04-14,selection,ensemble_bucket_selected,18,0.5034755443011221,24.0,28.0
2022-04-14,selection,ensemble_bucket_selected,19,0.5113232299865825,24.0,30.0
2022-04-14,selection,ensemble_bucket_selected,20,0.0003537873295142779,24.0,21.0
2022-04-14,selection,ensemble_bucket_selected,21,0.38160496286089873,24.0,32.0
2022-04-14,selection,ensemble_bucket_selected,22,0.3065136307780538,24.0,65.0
2022-04-14,selection,ensemble_bucket_selected,23,0.5655357807701559,24.0,48.0
2022-04-14,selection,ensemble_bucket_selected,24,0.42632052904306694,24.0,66.0
2022-04-14,selection,ensemble_bucket_selected,25,0.46973698887091747,24.0,30.0
2022-04-14,selection,ensemble_bucket_selected,26,0.5318757600007601,24.0,37.0
2022-04-14,selection,ensemble_bucket_selected,27,0.4744696333758834,24.0,38.0
2022-04-14,selection,ensemble_bucket_selected,28,0.41697052167255655,24.0,43.0
2022-04-14,selection,ensemble_selected,1,-0.023906641604009973,24.0,19.0
2022-04-14,selection,ensemble_selected,2,0.4637300753634787,24.0,34.0
2022-04-14,selection,ensemble_selected,3,0.554858224014628,24.0,29.0
2022-04-14,selection,ensemble_selected,4,0.4125424865831842,24.0,43.0
