origin,model,score
2022-08-04,cate2_lag7,0.5569203027137362
2022-08-04,cate2_mix,0.5591064736021697
2022-08-04,total_lag7,0.5614641120960823
2022-08-04,total_lag14,0.5706379958331631
2022-08-11,cate2_lag7,0.5612425214432979
2022-08-11,cate2_mix,0.5504273945538133
2022-08-11,total_lag7,0.5609986995437878
2022-08-11,total_lag14,0.5535882426025963
2022-08-18,cate2_lag7,0.5940123861555247
2022-08-18,cate2_mix,0.5978658465687043
2022-08-18,total_lag7,0.5816090314981003
2022-08-18,total_lag14,0.5777797797305573
